,Unnamed: 0,ccode,country,cname,cmark,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
0,1,2,USA,USA,1,1945,0,0,0,0,0,,,,,,,140969.0,11.856295585632301,10.0,7.625999927520749,3.0,7.625999927520749,8.93931865692139,11.856295585632301,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.493672102689743,0,0,6.797179698944089,11.979190826416,3.2115721702575697,1,7.6871199607849094,0,0,,,0.0,0.0,0.0,0,
1,2,2,USA,USA,0,1946,0,0,0,0,0,,,,,,,141936.0,11.863131523132301,10.0,7.65399980545044,3.0,7.625999927520749,8.93931865692139,11.856295585632301,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.35695010423660295,0,0,6.797179698944089,11.979190826416,3.2148678302764906,1,10.0,0,0,,,0.0,0.0,0.0,0,
2,3,2,USA,USA,0,1947,0,0,0,0,0,,,,,,,142713.0,11.8685913085938,10.0,8.02499961853027,3.0,7.65399980545044,8.94298362731934,11.863131523132301,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.35695007443428,0,0,7.65399980545044,11.863131523132301,3.2148678302764906,1,10.0,0,0,,,0.0,0.0,0.0,0,
3,4,2,USA,USA,0,1948,0,0,0,0,0,,,,,,,145326.0,11.8867349624634,10.0,8.27000045776367,3.0,8.02499961853027,8.99031734466553,11.8685913085938,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.35695010423660295,0,0,8.02499961853027,11.8685913085938,3.2148678302764906,1,10.0,0,0,,,0.0,0.0,0.0,0,
4,5,2,USA,USA,0,1949,0,0,0,0,0,,,,,,,147987.0,11.904879570007301,10.0,8.03999996185303,3.0,8.27000045776367,9.02038955688477,11.8867349624634,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.35695010423660295,0,0,8.27000045776367,11.8867349624634,3.2148678302764906,1,10.0,0,0,,,0.0,0.0,0.0,0,
5,6,2,USA,USA,0,1950,0,0,0,0,0,,,,,,,152273.0,11.9334306716919,10.0,8.77200031280518,0.0,8.03999996185303,8.99218463897705,11.904879570007301,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.35695010423660295,0,0,8.03999996185303,11.904879570007301,3.2148678302764906,1,10.0,0,0,,,0.0,0.0,0.0,0,
6,7,2,USA,USA,0,1951,0,0,0,0,0,,,,,,,155000.0,11.9511804580688,10.0,9.10900020599365,0.0,8.77200031280518,9.07931995391846,11.9334306716919,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.356950134038925,0,0,8.77200031280518,11.9334306716919,3.2148678302764906,1,10.0,0,0,,,0.0,0.0,0.0,0,
7,8,2,USA,USA,0,1952,0,0,0,0,0,,,,,,,157727.0,11.968621253967301,10.0,9.07400035858154,0.0,9.10900020599365,9.11701774597168,11.9511804580688,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.356950134038925,0,0,9.10900020599365,11.9511804580688,3.2148678302764906,1,10.0,0,0,,,0.0,0.0,0.0,0,
8,9,2,USA,USA,0,1953,0,0,0,0,0,,,,,,,160475.0,11.9858932495117,10.0,9.30000019073486,0.0,9.07400035858154,9.11316871643066,11.968621253967301,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.35695010423660295,0,0,9.07400035858154,11.968621253967301,3.2148678302764906,1,10.0,0,0,,,0.0,0.0,0.0,0,
9,10,2,USA,USA,0,1954,0,0,0,0,0,,,,,,,163202.0,12.0027437210083,10.0,9.08899974822998,0.0,9.30000019073486,9.13776969909668,11.9858932495117,western democracies and japan,1,0,0,0,0,0,1,0,23.900001525878896,3.2148678302764906,6280.0,0,1,0.35695010423660295,0.490957021713257,0.690999984741211,0.125,3,0.5959999561309809,56,28,1.89999997615814,0,10.0,0.0,0.0,1.0,0.35695010423660295,0,0,9.30000019073486,11.9858932495117,3.2148678302764906,1,10.0,0,0,,,0.0,0.0,0.0,0,
